40,0,21,35,10,28,8,45,18,14,46,20,23,12,49,34,16,37,6,31,26,32,36,44,17,43,24,30,4,29,48,25,5,1,13,47,7,38,3,11,2,22,33,9,19,15,39,41,27,42
11,10,8,32,31,15,41,48,2,12,27,9,26,28,38,18,47,39,7,1,45,49,35,3,4,6,14,19,21,22,16,42,34,37,46,17,25,36,29,43,44,30,33,20,40,24,23,0,5,13
11,31,46,49,4,27,1,9,32,13,14,35,3,41,2,21,18,39,0,36,44,8,23,7,40,33,6,28,26,19,12,22,25,47,30,16,10,38,5,29,34,37,20,15,43,24,45,42,17,48
22,7,29,33,43,30,46,34,24,48,0,4,25,39,40,2,16,11,37,23,8,31,3,26,15,6,9,21,42,10,27,28,36,18,20,41,5,38,35,13,14,12,45,49,44,32,1,19,17,47
4,47,5,42,37,18,21,44,7,39,28,40,17,41,45,32,3,29,23,38,48,15,0,46,35,31,20,30,11,2,14,25,26,16,10,9,43,27,13,24,19,8,33,49,12,6,36,34,1,22
43,49,19,45,8,3,34,37,1,46,13,35,18,30,15,47,16,7,29,11,33,24,4,14,38,10,25,39,0,22,5,42,44,9,27,6,23,12,48,31,21,2,36,20,28,32,41,40,26,17
33,14,22,32,13,8,46,47,3,5,1,35,25,12,29,20,16,21,17,38,11,48,45,19,4,10,6,43,39,27,15,18,23,36,44,34,24,37,28,0,41,30,2,40,42,49,26,7,31,9
42,8,7,27,38,48,34,40,3,1,12,30,21,47,17,31,41,22,20,37,10,26,46,4,5,44,14,15,9,2,28,45,16,23,29,24,0,18,43,49,6,19,13,33,35,25,32,11,39,36
11,38,1,43,31,4,7,33,5,18,37,42,13,32,35,39,47,10,0,27,2,16,36,3,44,46,15,17,48,8,28,29,23,49,40,24,34,19,20,9,41,6,21,45,14,30,26,12,25,22
46,27,48,2,15,10,9,6,18,3,19,39,13,1,14,8,28,44,17,33,42,12,22,16,45,40,36,7,25,32,43,4,35,0,49,34,23,37,47,5,38,26,24,21,11,31,20,29,41,30
45,19,27,47,40,35,3,44,29,10,18,5,22,4,1,23,9,30,39,12,42,21,49,2,28,15,0,25,13,24,33,46,32,41,34,20,17,16,31,26,38,11,43,36,48,14,7,6,37,8
2,12,10,31,7,37,5,24,34,15,0,42,21,13,11,43,39,16,1,3,8,17,48,4,33,14,20,40,41,44,30,36,9,45,18,35,22,49,25,26,46,47,28,19,23,32,27,38,6,29
27,8,41,5,49,4,36,7,6,38,10,30,3,25,0,13,46,45,12,21,9,43,29,48,42,2,33,31,28,16,23,14,22,26,39,34,40,20,37,1,19,32,15,47,35,17,24,11,18,44
48,20,44,5,13,12,46,3,2,25,45,38,19,34,11,36,49,40,7,16,47,39,26,32,8,28,37,14,30,33,41,22,10,27,35,24,18,29,4,15,21,43,23,9,6,0,31,17,42,1
8,15,24,39,18,45,38,3,36,14,44,31,21,4,9,32,17,48,2,37,20,29,49,42,34,30,1,11,13,23,28,40,7,43,19,12,35,6,16,0,33,25,5,27,46,10,47,22,41,26
44,31,6,33,7,47,14,2,45,9,19,4,32,11,46,25,1,20,0,8,27,24,16,39,42,37,28,49,10,5,38,41,13,35,18,29,15,40,12,22,48,30,17,3,21,34,36,43,23,26
16,10,6,31,14,33,44,3,26,47,11,45,19,36,40,37,5,48,46,34,42,15,8,13,41,30,29,27,43,18,23,32,1,25,35,12,4,39,28,49,7,21,38,17,2,20,9,22,0,24
2,42,22,32,6,40,23,26,41,34,31,37,43,19,44,17,11,13,24,48,14,36,35,45,29,12,49,5,28,3,33,4,0,39,30,38,18,47,16,10,15,1,20,21,27,9,46,8,25,7
21,39,15,10,41,40,43,46,33,1,6,8,37,25,27,9,16,23,47,14,35,29,36,49,24,22,45,4,48,34,38,11,18,13,20,17,0,7,26,32,28,31,2,3,42,12,5,30,44,19
